연월일,시분초,온도,습도,강수량,풍향
2023-12-16,14:47:24,-2℃,습도46%,강수량0.4mm,풍향 서 5.3 m/s
2023-12-16,14:47:25,-2℃,습도46%,강수량0.4mm,풍향 서 5.3 m/s
2023-12-16,14:47:26,-2℃,습도46%,강수량0.4mm,풍향 서 5.3 m/s
2023-12-16,14:47:27,-2℃,습도46%,강수량0.4mm,풍향 서 5.3 m/s
2023-12-16,14:47:28,-2℃,습도46%,강수량0.4mm,풍향 서 5.3 m/s
2023-12-16,14:47:30,-2℃,습도46%,강수량0.4mm,풍향 서 5.3 m/s
2023-12-16,14:47:31,-2℃,습도46%,강수량0.4mm,풍향 서 5.3 m/s
