연월일,시분초,온도,습도,강수량,풍향
2023-12-16,13:06:39,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:40,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:42,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:43,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:44,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:45,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:47,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:48,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
2023-12-16,13:06:49,0℃,습도49%,강수량0.4mm,풍향 서 5.1 m/s
